Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
KC409314.1,Norovirus Hu/GII/30207/2009/VNM,GenBank,set:KC409314,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-10-01
KM085343.1,Human papillomavirus 197,GenBank,set:KM085343,"Arroyo Muhr,L.S., Hultin,E., Bzhalava,D., Eklund,C., Lagheden,C., Ekstrom,J., Johansson,H., Forslund,O., Dillner,J.","Karolinska Institutet, Laboratory Medicine",Sweden,2014-09-10,SE46,Gammapapillomavirus 24,7278,complete,Sweden,,Homo sapiens,,2014
KJ196286.1,Norovirus GII/Hu/JP/2002/GII.P16_GII.17/Saitama/T87,GenBank,set:KJ196286,"Park,Y., Wu,F.-T., Miki,M., Amano,K., Ozawa,K., Murakami,K., Todaka,R., Shimoike,T., Oka,T., Uchida,K., Shinohara,M., Katayama,K.","National Institute of Infectious Diseases, Department of Virology II",Japan,2014-08-10,Saitama/T87,Norwalk virus,7535,complete,Japan,,Homo sapiens,,2002
MW679003.1,Torque teno virus AZ1_2,GenBank,,"Collins,C.L., Kraberger,S., Fontenele,R.S., Faleye,T.O.C., Sandrolini,H., Halden,R.C., Scotch,M., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2021-07-18,AZ1_2,Torque teno virus AZ1_2,3770,complete,"USA: Arizona, Tempe",AZ,Homo sapiens,,2020-02-06
MF597762.1,Variegated squirrel bornavirus 1,GenBank,set:MF597762,"Schlottau,K.",Friedrich Loeffler Institut,Germany,2018-07-04,,Orthobornavirus sciuri,8786,complete,Germany,,Homo sapiens,,2016-01
KC409262.1,Norovirus Hu/GII/20172/2009/VNM,GenBank,set:KC409262,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-09-23
KJ196297.1,Norovirus GII/Hu/JP/2007/GII.P7_GII.14/Fukuoka/KK282,GenBank,set:KJ196297,"Park,Y., Wu,F.-T., Miki,M., Amano,K., Ozawa,K., Murakami,K., Todaka,R., Shimoike,T., Oka,T., Uchida,K., Shinohara,M., Katayama,K.","National Institute of Infectious Diseases, Department of Virology II",Japan,2014-08-10,Fukuoka/KK282,Norwalk virus,7529,complete,Japan,,Homo sapiens,,2007
KC020369.1,Influenza B virus (B/Cambodia/V0112308/2011),GenBank,set:2244e796a94620c3c3aaadde67aa9319668da553,"Buchy,P.","Instiutut Pasteur in Cambodia, Virology",Cambodia,2013-05-01,,Betainfluenzavirus influenzae,1827,complete,Cambodia: Siem Reab,,Homo sapiens,,2011-02-01
JX857319.1,Ngari virus,GenBank,set:8e9e6dbf852ac56293663860d3b8057642cab5e3,"Groseth,A., Weisend,C., Ebihara,H.","NIAID, NIH, Laboratory of Virology, Molecular Virology & Host-Pathogen Interactions Unit",USA,2012-12-08,,Orthobunyavirus bunyamweraense,961,complete,Sudan,,Homo sapiens,,1988
KJ196288.1,Norovirus GII/Hu/JP/2002/GII.P5_GII.5/Saitama/T52,GenBank,set:KJ196288,"Park,Y., Wu,F.-T., Miki,M., Amano,K., Ozawa,K., Murakami,K., Todaka,R., Shimoike,T., Oka,T., Uchida,K., Shinohara,M., Katayama,K.","National Institute of Infectious Diseases, Department of Virology II",Japan,2014-08-10,Saitama/T52,Norwalk virus,7512,complete,Japan,,Homo sapiens,,2002
KX214551.1,Influenza A virus (A/Adana/07/2015(H1N1)),GenBank,set:031559a02258c0214b16599d5a8d8b41fba2fea7,"Unaldi,O., Altas,B., Guldemir,D., Korukluoglu,G., Bakkaloglu,Z., Bayrakdar,F., Ari,F.F., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Microbiology Reference Laboratories Department",Turkey,2016-06-01,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2015-12-30
KJ943384.1,Influenza A virus (A/Santiago/p3d3/2011(H1N1)),GenBank,set:6f42f5d24626f613d2bb6dc4271198e5426b42fb,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1410,complete,Chile: Antofagasta,,Homo sapiens,,2011-08-18
JN588806.1,Influenza A virus (A/Cambodia/V0219301/2011(H5N1)),GenBank,GCA_038610665.1,"Buchy,P., Mardy,S.","Institut Pasteur in Cambodia, Virology Unit",Cambodia,2011-11-01,,Alphainfluenzavirus influenzae,1750,complete,Cambodia: Prey Veng,,Homo sapiens,,2011-02-17
NC_009225.1,Torque teno midi virus 1,RefSeq,GCF_000870545.1,"Ninomiya,M., Nishizawa,T., Takahashi,M., Lorenzo,F.R., Shimosegawa,T., Okamoto,H.","Jichi Medical University School of Medicine, Division of Virology, Department of Infection and Immunity; 3311-1 Yakushiji, Shimotsuke-Shi, Tochigi-Ken 329-0498",Japan,2007-03-27,MD1-032,Gammatorquevirus homidi1,3245,complete,Japan,,Homo sapiens,blood,
KC118549.1,Influenza A virus (A/Cambodia/V1116330/2011(H3N2)),GenBank,set:b1a511ee7df22a0d9f3af3e59d461fa4ebf33d73,"Buchy,P.","Institut Pasteur in Cambodia, Virology",Cambodia,2013-05-01,,Alphainfluenzavirus influenzae,1437,complete,Cambodia: Takeo,,Homo sapiens,,2011-11-06
OP971056.1,human papillomavirus 214,GenBank,,"Happel,A.-U., Balle,C., Havyarimana,E., Brown,B., Maust,B., Konstantinus,I.N., Feng,C., Yi,B.H., Gill,K., Bekker,L.-G., Passmore,J.-A.S., Jaspan,H.B., Varsani,A.","Arizona State University, The Biodesign Center of Fundamental and Applied Microbiomics",USA,2023-01-14,UC113_LW_V2,human papillomavirus 214,7357,complete,South Africa,,Homo sapiens,,2017-03-02
KF849761.1,Influenza A virus (A/Thailand/SirirajICRC_NMA_11/2011(H1N1)),GenBank,set:418f6d51eaa83b1e01000ea6b188e5faf1ebe920,"Rattanarojpong,T., Wongprompitak,P., Pooruk,P., Lerdsamran,H., Phawong,C., Tassaneetrithep,B., Kongyu,S., Iamsirithaworn,S., Puthavathana,P.","King's Mongkut University of Technology Thonburi, Microbiolgy",Thailand,2014-08-29,,Alphainfluenzavirus influenzae,1410,complete,Thailand,,Homo sapiens,oronasopharynx,2011-06-03
KP151567.1,Cyclovirus NI-204,GenBank,set:KP151567,"Phan,T.G., Mori,D., Deng,X., Rajindrajith,S., Ranawaka,U., Fan Ng,T.F., Bucardo-Rivera,F., Orlandi,P., Ahmed,K., Delwart,E., Phan,T.","Blood Systems Research Institute, Virology",USA,2015-05-03,,Cyclovirus NI-204,1710,complete,Nicaragua,,Homo sapiens,feces,2009
JX625241.1,Influenza A virus (A/Paraguay/1CMI/2009(H1N1)),GenBank,set:ffef4fff6ca89e3b6de28b5e33bf45b3a8ad52e2,"Espinola,E.E., Amarilla,A.A., Martinez,M., Aquino,V.H., Russomando,G.","Instituto de Investigaciones en Ciencias de la Salud, Departamento de Biologia Molecular y Genetica",Paraguay,2013-06-30,,Alphainfluenzavirus influenzae,1701,complete,Paraguay,,Homo sapiens,oronasopharynx,2009-08-20
KX214543.1,Influenza A virus (A/Izmir/01/2015(H1N1)),GenBank,set:0ae96677a06fb1378cf9c5685b6835dabfb57842,"Guldemir,D., Altas,B., Unaldi,O., Korukluoglu,G., Aktas,A.R., Bayrakdar,F., Bakkaloglu,Z., Ari,F.F., Durmaz,R.","Public Health Institution of Turkey, Microbiology Reference Laboratories Department",Turkey,2016-06-01,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2015-12-25
MZ394039.1,Echovirus E7,GenBank,,"Xu,D., Ma,S., Zhang,M.","Institute of Medical Biology, Chinese Academy of Medical Science, Genetic Laboratory",China,2023-06-20,K1641/YN/CHN/2016,Enterovirus B,7428,complete,China,,Homo sapiens,feces,2016
KP878313.1,Orthohantavirus dobravaense,GenBank,set:0e6f62067884c2846247ac299714537f6edbfcbf,"Kruger,D.H., Tkachenko,E.A., Morozov,V.G., Yunicheva,Y.V., Pilikova,O.M., Malkin,G., Ishmukhametov,A.A., Heinemann,P., Witkowski,P.T., Klempa,B., Dzagurova,T.K.","Charite School of Medicine, Institute of Medical Virology",Germany,2015-11-28,,Orthohantavirus dobravaense,1300,complete,Russia,,Homo sapiens,,2013
KJ452355.1,Influenza A virus (A/Beijing/14-2/2014(H1N1)),GenBank,set:7f073aabddb02ceacbe71f5d7705ac61e88ed817,"Fang,Q., Gao,Y.","Peking University People's Hospital, Department of Infectious Disease",China,2014-10-01,,Alphainfluenzavirus influenzae,1410,complete,China,,Homo sapiens,oronasopharynx,2014-01-07
EF429199.1,West Nile virus SA381/00,GenBank,set:EF429199,"Botha,E.M., Markotter,W., Wolfaardt,M., Paweska,J.T., Swanepoel,R., Palacios,G., Nel,L.H., Venter,M.","University of Pretoria, Microbiology and Plant Pathology",,2008-02-29,,Orthoflavivirus nilense,11052,complete,South Africa,,Homo sapiens,,2000
KJ943216.1,Influenza A virus (A/Santiago/p36d5/2013(H3N2)),GenBank,GCA_038698345.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1737,complete,Chile: La Florida,,Homo sapiens,,2013-09-02
MK415409.1,Phage YS1-2_2434,GenBank,set:MK415409,"Nishijima,S.","The University of Tokyo, Computational Biology and Medical Sciences",Japan,2020-01-31,,Phage YS1-2_2434,30246,complete,Japan,,Homo sapiens,,
JX459900.1,Norovirus Hu/GII.4/Randwick/NSW882J/2011/AU,GenBank,set:JX459900,"Eden,J.S., Tanaka,M.M., Boni,M.F., Rawlinson,W.D., White,P.A., Eden,J.-S.","University of New South Wales, School of Biotechnology and Biomolecular Sciences",Australia,2012-10-21,,Norwalk virus,7558,complete,Australia,,Homo sapiens,,2011-10
LC720410.1,rhinovirus A73,GenBank,,"Shirato,K., Kume,Y., Suwa,R., Kawase,M., Ono,T., Chishiki,M., Okabe,H., Norito,S., Sato,M., Sakuma,H., Suzuki,S., Hosoya,M., Takeda,M., Hashimoto,K.","Virology III; 4-7-1 Gakuen, Musashimurayama, Tokyo 208-0011",Japan,2022-07-30,HRV_A73_Fukushima_H739_2019,Rhinovirus A,7202,complete,Japan: Fukushima,,Homo sapiens,,2019
KC409281.1,Norovirus Hu/GII/20229/2009/VNM,GenBank,set:KC409281,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2013-02-16,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-10-27
KJ196289.1,Norovirus GII/Hu/TW/2012/GII.Pe_GII.4_Sydney2012/Taipei/109,GenBank,set:KJ196289,"Park,Y., Wu,F.-T., Miki,M., Amano,K., Ozawa,K., Murakami,K., Todaka,R., Shimoike,T., Oka,T., Uchida,K., Shinohara,M., Katayama,K.","National Institute of Infectious Diseases, Department of Virology II",Japan,2014-08-10,Taipei/109,Norwalk virus,7559,complete,Taiwan,,Homo sapiens,,2012
KY798006.1,Reston ebolavirus,GenBank,set:KY798006,"Albarino,C.G., Wiggleton Guerrero,L., Jenks,H.M., Chakrabarti,A.K., Ksiazek,T.G., Rollin,P.E., Nichol,S.T., Guerrero,L.W.","Centers for Disease Control and Prevention, Viral Special Pathogens Branch",USA,2017-06-07,USA_VA_1989_(813168),Orthoebolavirus restonense,18883,complete,USA,,Homo sapiens,blood,1989
JQ746702.1,Influenza A virus (A/Vladivostok/11/2010(H3N2)),GenBank,set:a575797c98f97db0def1d930f20de537921d6bb5,"Siluyanova,E.V., Alkhovskiy,S.V., Burtseva,E.I.","The D.I. Ivanovsky Institute of Virology, Lab. of Biotechnology",Russia,2012-04-14,,Alphainfluenzavirus influenzae,1701,complete,Russia,,Homo sapiens,,2010-11
OM001423.1,rhinovirus B27,GenBank,,"Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.","UW Virology, DLMP",USA,2022-01-04,,Rhinovirus B,7097,complete,USA,,Homo sapiens,,2021-06-21
OM001368.1,rhinovirus A34,GenBank,,"Greninger,A.L., Xie,H., Cruz,K., Sereewit,J., Phung,Q., Lin,M.J.","UW Virology, DLMP",USA,2022-01-04,,Rhinovirus A,7119,complete,USA,,Homo sapiens,,2021-07-09
KF226113.1,Influenza A virus (A/Jiangsu/1/2013(H7N9)),GenBank,set:cd6306941a21261ce0dcfdff76145bfbc86910bb,"Ren,X., Yang,F., Hu,Y., Zhang,T., Liu,L., Dong,J., Sun,L., Zhu,Y., Xiao,Y., Li,L., Yang,J., Wang,J., Jin,Q.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences and Peking Union Medical College, MOH Key Laboratory of Systems Biology of Pathogens",China,2013-08-16,,Alphainfluenzavirus influenzae,1683,complete,China,,Homo sapiens,"lung, oronasopharynx",2013-04-20
KX097038.1,Influenza A virus (A/Ankara/15/2016(H1N1)),GenBank,set:6bad5e2ed540f6a5cd903eb0a69c6d78ee5e23bc,"Coskun Ari,F.F., Altas,B., Bakkaloglu,Z., Korukluoglu,G., Guldemir,D., Bayrakdar,F., Unaldi,O., Aktas,A.R., Durmaz,R.","Public Health Institution of Turkey, Molecular Microbiology Reference Laboratories",Turkey,2016-05-15,,Alphainfluenzavirus influenzae,1701,complete,Turkey,,Homo sapiens,oronasopharynx,2016-01-07
OR726585.1,rhinovirus C17,GenBank,,"Sereewit,J., Kong,K., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Medicine Laboratory Medicine and Pathology, Virology Division",USA,2023-11-12,,Rhinovirus C,7044,complete,USA: WA,WA,Homo sapiens,oronasopharynx,2020-11
HM748971.2,Norovirus Hu/GII.4/Beecroft/NSW305P/2009/AUS,GenBank,set:HM748971,"Eden,J.S., Tanaka,M.M., Boni,M.F., Rawlinson,W.D., White,P.A., Eden,J.-S., Bull,R.A., Lim,H.F.","University of New South Wales, School of Biotechnology & Biomolecular Sciences",Australia,2010-11-22,,Norwalk virus,7560,complete,Australia,,Homo sapiens,,2009
KJ942720.1,Influenza A virus (A/reassortant/NYMC X-215(A/Puerto Rico/8/1934 x A/Brisbane/299/2011)(H3N2)),GenBank,set:057450f2a94b0692b34434501fdd135e24807467,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Ransier,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Kumar,M., Bucher,D.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1752,complete,,,Homo sapiens,,
PQ998968.1,Enterovirus B75,GenBank,,"Chen,Q., Chen,L., Wang,B., Huang,Y., Tang,L., Peng,X., Deng,X., Ke,C.","Guangdong Center For Disease Control and Prevention, Institute of Pathognic Microbiology",China,2025-02-26,AFP981/GD/CHN/1997,Enterovirus B,7427,complete,China,,Homo sapiens,feces,1997
KF277192.1,Influenza A virus (A/Nanchang/1/2013(H7N9)),GenBank,GCA_038686605.1,"Zhou,X., Xia,W., Ni,X., Fan,G., Li,H., Chen,H.","Nanchang Center for Disease Control and Prevention, Department of Microbiology",China,2013-06-30,,Alphainfluenzavirus influenzae,982,complete,China,,Homo sapiens,,2013-04-24
KY321924.1,Influenza A virus (A/Hong Kong/01/1968(H3N2)),GenBank,set:f30e6458288dec36e3b2d3fbd0f6814f1a6a2a3b,"Lohrmann,F., Dijkman,R., Stertz,S., Thiel,V., Haller,O., Staeheli,P., Kochs,G.",Institute of Virology,Germany,2016-12-24,,Alphainfluenzavirus influenzae,2341,complete,China,,Homo sapiens,,1968
OQ091649.1,Coxsackievirus A3,GenBank,,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L.","Centre National de Reference Enterovirus et Parechovirus - CHU Clermont ferrand, virologie",France,2025-01-01,,Enterovirus A,7388,complete,France,,Homo sapiens,feces,2014-04-02
KF886350.1,Influenza A virus (A/Ontario/023/2013(H3N2)),GenBank,set:6d9c8f373ae0581687d46fdf2a01e248db358131,"Skowronski,D.M., Janjua,N.Z., De Serres,G., Sabaiduc,S., Eshaghi,A., Dickinson,J.A., Fonseca,K., Winter,A.L., Gubbay,J.B., Krajden,M., Petric,M., Charest,H., Bastien,N., Kwindt,T.L., Mahmud,S.M., Van Caeseele,P., Li,Y., Winter,A.-L., Gubbay,J.","Public Health Ontario, Molecular Diagnostics",Canada,2013-12-14,,Alphainfluenzavirus influenzae,1701,complete,Canada: Ontario,,Homo sapiens,,2013-01-24
KJ942943.1,Influenza A virus (A/Santiago/p36d0/2013(H3N2)),GenBank,GCA_038696165.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1737,complete,Chile: La Florida,,Homo sapiens,,2013-08-29
JF421282.1,Hantavirus XAHu09041,GenBank,set:7baaf407d886dcc9d83361a9642e3e915725652f,"Ma,C., Yu,P., Nawaz,M., Zuo,S., Jin,T., Li,Y., Li,J., Li,H., Xu,J., Wu,R., Zheng,H., Mi,B.","Xi'an Center for Disease Control and Prevention, Viral Disease Laboratory",China,2011-08-21,,Hantavirus XAHu09041,1696,complete,China,,Homo sapiens,,2008-12-27
MN630058.1,Mumps virus genotype I,GenBank,set:MN630058,"Kim,S.T., Cheong,H.-M., Choi,Y., Hwang,K.J., Kim,D.-W., Yun,M.-R., Lee,J.-W.","Korea Centers for Disease Control and Prevention, Pathogen Resource TF, Center for Infectious Diseases Research, Korea National Institute of Health",South Korea,2020-01-14,,Orthorubulavirus parotitidis,15385,complete,South Korea,,Homo sapiens,oronasopharynx,2016-10-31
KC306166.1,Influenza B virus (B/Wisconsin/01/2010),GenBank,set:d7761fae38dd177e43271dea76663d51b20c3671,"Wang,J., Ramanunninair,M., Bucher,D.J., Huertas,N. Jr., Zand,M.S.","University of Rochester Medical Center, Department of Medicine, Nephrology Division",USA,2012-12-26,,Betainfluenzavirus influenzae,1755,complete,USA,,Homo sapiens,,2010
AB933708.1,Norovirus Hu/GII.4/Hiroshimacity3/2011/JP,GenBank,set:AB933708,"Sato,H., Yokoyama,M., Motomura,K., Nakamura,H.","Pathogen Genomics Center; Gakuen 4-7-1, Musashi-Murayama, Tokyo 208-0011",Japan,2015-09-02,,Norwalk virus,7509,complete,Japan:Hiroshimacity,,Homo sapiens,feces,2011
JF714139.1,Influenza A virus (A/Korea/NAP-1/2009(H1N1)),GenBank,GCA_038565765.1,"Kim,J.-K., Hong,S.-P., Kim,E.-H., No,J.-B., Sung,M.-H., Poo,H.-R.","Korea Research Institute of Bioscience and Biotechnology, Virus Infectious Disease Researh Center",Korea,2011-04-05,,Alphainfluenzavirus influenzae,2280,complete,South Korea,,Homo sapiens,oronasopharynx,2009-11-02
LC209453.1,Norovirus Hu/GII/JP/2011/GII.P16_GII.2/Osaka-023,GenBank,set:LC209453,"Mizukoshi,F., Nagasawa,K., Doan,Y.H., Haga,K., Yoshizumi,S., Ueki,Y., Shinohara,M., Ishikawa,M., Sakon,N., Shigemoto,N., Okamoto-Nakagawa,R., Ochi,A., Murakami,K., Ryo,A., Suzuki,Y., Katayama,K., Kimura,H., Matsushima,Y.","Division of Virology; Tonomachi 3-25-13, Kawasaki-ku, Kawasaki, Kanagawa 210-0821",Japan,2017-12-14,,Norwalk virus,7515,complete,Japan: Osaka,,Homo sapiens,feces,2011
PP728776.1,Samektorquevirus hominid16,GenBank,,"Holland,S.C., Do,E.D., Kaelin,E.A., Mitchell,C., Soria,J., La Rosa,A., Ticona,E., Coombs,R.W., Frenkel,L.M., Bull,M.E., Lim,E.S.","Arizona State University, Center for Fundamental and Applied Microbiomics",USA,2024-05-28,ASU71878,Samektorquevirus hominid16,3178,complete,Peru: Lima,,Homo sapiens,,2007-11-08
KC292273.1,SFTS virus HNXY_212,GenBank,set:38c63e02e96f4b81dc4a3d4fae96ec2381337fd0,"Liu,W., Lu,Q.B., Cui,N., Li,H., Wang,L.Y., Liu,K., Yang,Z.D., Wang,B.J., Wang,H.Y., Zhang,Y.Y., Zhuang,L., Hu,C.Y., Yuan,C., Fan,X.J., Wang,Z., Zhang,L., Zhang,X.A., Walker,D.H., Cao,W.C., Lu,Q.","State Key Laboratory of Pathogen and Biosecurity, Beijing Institute of Microbiology and Epidemiology",China,2013-04-15,,SFTS phlebovirus,1744,complete,"China: Henan, Xinyang",,Homo sapiens,,
KJ196276.1,Norovirus GII/Hu/JP/2002/GII.P12_GII.13/Saitama/T80,GenBank,set:KJ196276,"Park,Y., Wu,F.-T., Miki,M., Amano,K., Ozawa,K., Murakami,K., Todaka,R., Shimoike,T., Oka,T., Uchida,K., Shinohara,M., Katayama,K.","National Institute of Infectious Diseases, Department of Virology II",Japan,2014-08-10,Saitama/T80,Norwalk virus,7491,complete,Japan,,Homo sapiens,,2002
JN400619.2,Norovirus Hu/GII-4/CGMH21/2010/TW,GenBank,set:JN400619,"Tsai,C.N., Lin,C.Y., Lin,C.W., Shih,K.C., Chiu,C.H., Chen,S.Y., Tsai,C.-N., Lin,C.-Y., Lin,C.-W., Shih,K.-C., Chi,H.-C., Chao,H.-C., Lai,M.-W., Yu,T.-H., Chen,S.-Y., Chiu,C.-H.",Graduate Institute of clinical medical sciences,Taiwan,2012-07-08,,Norwalk virus,7509,complete,Taiwan,,Homo sapiens,feces,2010-01-05
KJ943183.1,Influenza A virus (A/Santiago/op7d1/2012(H3N2)),GenBank,GCA_038649385.1,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,1731,complete,Chile: Santiago,,Homo sapiens,,2012-06-28
JQ624639.1,Influenza A virus (A/Sydney/CB2/2011(H1N1)),GenBank,set:72396eb49747bf0671229d9edadadce49b52cc1b,"Wang,B., Dwyer,D.E., Saksena,N.K.","University of Sydney, Westmead Millennium Institute",Australia,2012-03-12,,Alphainfluenzavirus influenzae,1722,complete,Australia,,Homo sapiens,,2011-07-27
KC175401.1,Norovirus Hu/Norwalk/20093/2009/VNM,GenBank,set:KC175401,"Madupu,R., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., McLellan,M., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., My,P.V., Campbell,J., Farrar,J., Vinh,H., Hoang,N.V., Wentworth,D.E., Baker,S.",J. Craig Venter Institute,USA,2012-11-25,,Norwalk virus,7511,complete,Viet Nam: Ho Chi Minh City,,Homo sapiens,,2009-08-02
KY286416.1,Influenza A virus (A/Minhang/S01/2013(H7N9)),GenBank,GCA_038681665.1,"Tang,H., Zhao,P., Xie,J.","Second Military Medical University, Department of Biological Defence (Microbiology), Faculty of Tropical Medicine and Public Health",China,2017-01-08,S01,Alphainfluenzavirus influenzae,2332,complete,China,,Homo sapiens,,2013-02-27
NC_014373.1,Bundibugyo ebolavirus,RefSeq,GCF_000889155.1,"Towner,J.S., Sealy,T.K., Khristova,M.L., Albarino,C.G., Conlan,S., Reeder,S.A., Quan,P.L., Lipkin,W.I., Downing,R., Tappero,J.W., Okware,S., Lutwama,J., Bakamutumaho,B., Kayiwa,J., Comer,J.A., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Kayiwa,J.T.","National Center for Biotechnology Information, NIH",USA,2010-08-09,Bundibugyo virus/H.sapiens-tc/UGA/2007/Butalya-811250,Orthoebolavirus bundibugyoense,18940,complete,Uganda,,Homo sapiens,blood,2007-11
JX459906.1,Norovirus Hu/GII.4/Miranda/NSW850K/2011/AU,GenBank,set:JX459906,"Eden,J.S., Tanaka,M.M., Boni,M.F., Rawlinson,W.D., White,P.A., Eden,J.-S.","University of New South Wales, School of Biotechnology and Biomolecular Sciences",Australia,2012-10-21,,Norwalk virus,7560,complete,Australia,,Homo sapiens,,2011-06
KJ943745.1,Influenza A virus (A/Santiago/p2d7/2012(N2)),GenBank,set:454f35c66de0118118f33b93d1d9c71638fa59d9,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",J. Craig Venter Institute,USA,2014-07-13,,Alphainfluenzavirus influenzae,999,complete,Chile: Providencia,,Homo sapiens,,2012-06-19
